pkg_amount,create_date,status,price,edi,etc_class,firm,account_id,name_as,by_id,name,code,narcotic_class,purchase_standard,base_amount,modify_date,standard_unit
10,2016-11-22 10:51:56.580766+00:00,사용중,2071,657802271,일반,하나제약,2,구연산펜타닐주사 2mL,1,하나구연산펜타닐주사 2mL(앰플),7FTN2X,1,2ml * 10AMP,0,2016-12-04 05:58:17.110058+00:00,AMP
10,2016-11-22 10:51:55.920585+00:00,사용중,8357,653102660,일반,비씨월드제약,1,그라트릴오디정,1,그라트릴오디정(그라니세트론염산염),TGRA,0,10T,0,2016-12-04 05:58:16.233512+00:00,TAB
5,2016-11-22 10:51:56.294846+00:00,사용중,18645,653102371,일반,비씨월드제약,1,그라트릴주,1,그라트릴주(그라니세트론염산염) 3mg/3mL,7GRAX,0,3ml/5A,0,2016-12-04 05:58:16.722104+00:00,AMP
1,2016-11-22 10:51:56.173876+00:00,사용중,90885,643604880,처치약품,녹십자,1,그린플라스트큐프리필드시린지키트,1,그린플라스트큐프리필드시린지키트,3GPQ,0,2ml/키트,0,2016-12-04 05:58:16.576632+00:00,KIT
1,2016-11-22 10:51:56.581982+00:00,사용중,0,657400140,일반,퍼슨,1,글루콘산 클로르헥시딘 20% 500ml,1,성광글루콘산클로르헥시딘액20%,,0,병,0,2016-12-04 05:58:17.077511+00:00,BTL
50,2016-11-22 10:51:56.396366+00:00,사용중,517,645100383,일반,대한약품공업,1,글루콘산칼슘주 20ml/PP,1,대한글루콘산칼슘주(앰플(PP)),7CAGX,0,50A,0,2016-12-04 05:58:16.837860+00:00,AMP
100,2016-11-22 10:51:55.828601+00:00,사용중,185,642500170,일반,동아에스티,1,글리멜정 2mg,1,글리멜정2mg(글리메피리드),TGLIM2,0,100T,0,2016-12-04 05:58:16.014480+00:00,TAB
100,2016-11-22 10:51:55.829773+00:00,사용중,284,642505060,일반,동아에스티,1,글리멜정 4mg,1,글리멜정4mg(글리메피리드),TGLIM4,0,100T,0,2016-12-04 05:58:16.015767+00:00,TAB
60,2016-11-22 10:51:56.583164+00:00,사용중,11077,653600010,일반,한국노바티스,1,글리벡필름코팅정100mg,1,글리벡필름코팅정100mg(이매티닙메실산염),TGLI,0,60T,0,2016-12-04 05:58:16.999010+00:00,TAB
30,2016-11-22 10:51:56.240733+00:00,사용중,647,649800040,일반,명문제약,1,글리액트정,1,글리액트정(피오글리타존염산염),TGLAT,0,30T,0,2016-12-04 05:58:16.648591+00:00,TAB
20,2016-11-22 10:51:56.043407+00:00,사용중,1851,645100050,일반,대한약품공업,1,글리푸롤주 200mL,1,글리푸롤주 200mL,7GLY,0,200ml,0,2016-12-04 07:40:53.227696+00:00,BTL
5,2016-11-22 10:51:56.095708+00:00,사용중,2954,650700041,일반,한국아스트라제네카,1,나로핀주,1,나로핀주사2mg/mL(로피바카인염산염),7NAROX,0,20mL/5A,0,2016-12-04 05:58:16.456066+00:00,AMP
10,2016-11-22 10:51:56.584223+00:00,사용중,2762,642200951,일반,부광약품,1,나록손주2.0mg,1,부광염산나록손주2.0mg,7NLXX,0,10A,0,2016-12-04 05:58:16.117101+00:00,AMP
1,2016-11-22 10:51:56.585292+00:00,사용중,99971,642200071,항암제,부광약품,1,나벨빈주 50mg/5mL,1,나벨빈주(비노렐빈타르타르산염) 5mL,7NAVEX,0,V,0,2016-12-04 05:58:17.138059+00:00,VIAL
5,2016-11-22 10:51:56.432537+00:00,사용중,20885,677200031,일반,한국아스텔라스제약,1,나제아 주 0.3mg,1,나제아주사액0.3mg,7NSAX,0,5A,0,2016-12-04 05:58:16.928024+00:00,AMP
10,2016-11-22 10:51:55.878178+00:00,사용중,5298,670600151,일반,휴온스,1,나카인주사150mg/20mL,1,나카인주사150mg/20mL,7NACIX,0,10A,0,2016-12-04 05:58:16.118560+00:00,AMP
10,2016-11-22 10:51:56.586390+00:00,사용중,692,649800051,일반,명문제약,1,날페인주10mg,1,날페인주사10mg(염산날부핀),7NPIX,2,10A,0,2016-12-04 05:58:16.120050+00:00,AMP
1,2016-11-22 10:51:56.587607+00:00,사용중,0,641100430,일반,바이엘코리아,1,네비도주사,1,네비도주사(테스토스테론운데카노에이트),7NAVY,0,1S,0,2016-12-04 05:58:16.390186+00:00,AMP
1,2016-11-22 10:51:56.319263+00:00,사용중,81333,641900141,항암제,보령제약,1,네오플라틴주 450mg/45mL,1,네오플라틴주45mL(카보플라틴),7CARBOX,0,45ml/V,0,2016-12-04 05:58:16.741721+00:00,VIAL
10,2016-11-22 10:51:55.812363+00:00,사용중,2402,654001171,일반,아주약품,1,네틸마이신황산염주 100mg,1,아주네틸마이신황산염주사100mg,7NTMICX,0,100mg/10A,0,2016-12-04 05:58:15.991133+00:00,AMP
10,2016-11-22 10:51:56.588896+00:00,사용중,6282,644902352,일반,중외제약,1,네프라민주 250mL,1,중외네프라민주 250mL(백),7NPRM,0,10백,0,2016-12-04 05:58:16.099916+00:00,BAG
60,2016-11-22 10:51:56.589967+00:00,사용중,19006,641104700,일반,바이엘코리아,1,넥사바정 200mg,1,넥사바정200mg(소라페닙토실레이트(미분화)),TNXV,0,60T,0,2016-12-04 05:58:17.000467+00:00,TAB
10,2016-11-22 10:51:56.328584+00:00,사용중,2421,664600111,일반,다림바이오텍,1,노르핀주,1,노르핀주4mL,7NORPX,0,4ml/10A,0,2016-12-04 05:58:16.757556+00:00,AMP
10,2016-11-22 10:51:55.879722+00:00,사용중,17557,653300961,일반,현대약품,1,노바스탄하이주 10mg/2ml,1,노바스탄하이주10mg/2ml(아가트로반수화물),7NOVASX,0,10A,0,2016-12-04 05:58:16.121523+00:00,AMP
100,2016-11-29 23:44:49.869275+00:00,사용중,0,699600022,일반,****,1,노보파인 펜니들 32G,2,노보파인 펜니들 32G,,0,0.23X6mmX100EA,0,2016-12-04 05:58:15.894631+00:00,PEN
4,2016-11-22 10:51:56.334693+00:00,사용중,8003,678000020,일반,한국먼디파마 유한회사,1,노스판패취10㎍/h,1,노스판패취10㎍/h(부프레노르핀),NOR10,2,4매,0,2016-12-04 05:58:16.743235+00:00,매
4,2016-11-22 10:51:56.335807+00:00,사용중,5290,678000010,일반,한국먼디파마 유한회사,1,노스판패취5㎍/h,1,노스판패취5㎍/h(부프레노르핀),NOR,2,4매,0,2016-12-04 05:58:16.744585+00:00,매
90,2016-11-22 10:51:56.538686+00:00,사용중,523,649806600,일반,명문제약,1,뉴라렌정,1,뉴라렌정(콜린알포세레이트),NEWL,0,90T,0,2016-12-04 05:58:17.043048+00:00,TAB
5,2016-11-22 10:51:56.591140+00:00,사용중,782879,666300291,일반,한국쿄와하코기린 주식회사,1,뉴라스타프리필드시린지주,1,뉴라스타프리필드시린지주(페그필그라스팀),NEULAX,0,5S,0,2016-12-04 05:58:16.969486+00:00,SYR
100,2016-11-22 10:51:55.831180+00:00,사용중,2073,651903280,일반,명인제약,1,뉴로자핀정10mg,1,뉴로자핀정10mg(올란자핀),TNRZP,0,100T,0,2016-12-04 05:58:16.017068+00:00,TAB
100,2016-11-22 10:51:55.832347+00:00,사용중,1270,651903220,일반,명인제약,1,뉴로자핀정5mg,1,뉴로자핀정5mg(올란자핀),TOLA,0,100T,0,2016-12-04 05:58:16.018365+00:00,TAB
28,2016-11-22 10:51:56.133138+00:00,사용중,588,647803940,일반,삼진제약,1,뉴스타틴알정10mg,1,뉴스타틴알정10mg(로수바스타틴칼슘),NEUSTA,0,28T,0,2016-12-04 05:58:16.505508+00:00,TAB
28,2016-11-22 10:51:56.134414+00:00,사용중,319,647803950,일반,삼진제약,1,뉴스타틴알정5mg,1,뉴스타틴알정5mg(로수바스타틴칼슘),NEUSTAR,0,28T,0,2016-12-04 05:58:16.507003+00:00,TAB
300,2016-11-22 10:51:56.205036+00:00,사용중,663,647803660,일반,삼진제약,1,뉴스타틴에이정10mg,1,뉴스타틴에이정10mg,TNTA10,0,300T,0,2016-12-04 05:58:16.604272+00:00,TAB
300,2016-11-22 10:51:56.206492+00:00,사용중,712,647803670,일반,삼진제약,1,뉴스타틴에이정20mg,1,뉴스타틴에이정20mg,TNTA20,0,300T,0,2016-12-04 05:58:16.605755+00:00,TAB
10,2016-11-22 10:51:56.592548+00:00,사용중,97951,644902361,일반,중외제약,1,뉴트로진주 250㎍,1,중외뉴트로진주250㎍(레노그라스팀),7CHNEUTX,0,10V,0,2016-12-04 05:58:16.240968+00:00,VIAL
90,2016-11-22 10:51:56.536112+00:00,사용중,506,647803980,일반,삼진제약,1,뉴티린연질캡슐,1,뉴티린연질캡슐(콜린알포세레이트),CNEW,0,90C,0,2016-12-04 05:58:17.040039+00:00,CAP
50,2016-11-22 10:51:56.593711+00:00,사용중,1027,654000071,일반,아주약품,1,뉴페낙주 2mL,1,뉴페낙주사2mL,7NEWX,0,50A,0,2016-12-04 05:58:16.839339+00:00,AMP
100,2016-11-22 10:51:56.233152+00:00,사용중,222,647800720,일반,삼진제약,1,니모디핀정,1,삼진니모디핀정,TNIMOD,0,30mg/100T,0,2016-12-04 05:58:16.640181+00:00,TAB
1,2016-11-22 10:51:56.424155+00:00,사용중,4123,658601131,일반,이연제약,1,니모디핀주,1,이연니모디핀주,7NMP1X,0,50ml/1V,0,2016-12-04 05:58:16.904826+00:00,VIAL
1,2016-11-22 10:51:56.595036+00:00,사용중,0,659600560,일반,제이텍바이오젠,1,니스타틴시럽 100ml,1,피엠에스니스타틴시럽,SPMS,0,통,0,2016-12-04 05:58:17.093120+00:00,BTL
100,2016-11-22 10:51:56.514721+00:00,사용중,41,649800850,일반,명문제약,1,니트로글리세린 설하정 0.6mg,1,명문니트로글리세린0.6mg설하정,TNITO,0,6mg/100T,0,2016-12-04 05:58:17.019352+00:00,TAB
1,2016-11-22 10:51:56.596194+00:00,사용중,0,650201050,일반,안국약품,1,니트로푸라존연고,1,안국니트로푸라존연고,3NFZOT,0,통,0,2016-12-04 05:58:17.094568+00:00,TUBE
10,2016-11-22 10:51:55.880800+00:00,사용중,2866,657800131,일반,하나제약,1,니트세린주,1,니트세린주사,7NITCX,0,10A,0,2016-12-04 05:58:16.122868+00:00,AMP
100,2016-11-22 10:51:56.597378+00:00,사용중,942,661901000,일반,영풍제약,1,다나졸캅셀 200mg,1,영풍다나졸200mg캅셀,TDNZOL20,0,100C,0,2016-12-04 05:58:15.969779+00:00,CAP
120,2016-11-22 10:51:56.598677+00:00,사용중,430,670700070,일반,초당약품공업,1,다이놀정,1,다이놀정(디소디움에티드로네이트),TDAIN,0,120T,0,2016-12-04 05:58:16.328877+00:00,TAB
100,2016-11-22 10:51:55.833443+00:00,사용중,112,641600370,일반,대웅제약,1,다이아벡스정1000mg,1,다이아벡스정1000mg(메트포르민염산염),TGLP1000,0,100T,0,2016-12-04 05:58:16.019673+00:00,TAB
1000,2016-11-22 10:51:56.124226+00:00,사용중,10,642100160,일반,유한양행,1,다이크로짇정,1,다이크로짇정(히드로클로로티아지드),TDCL,0,25mg/1000T,0,2016-12-04 05:58:16.492857+00:00,TAB
1,2016-11-22 10:51:56.600052+00:00,사용중,673885,646901301,일반,한국얀센,1,다코젠주,1,다코젠주(데시타빈),7DACOX,0,V,0,2016-12-04 05:58:17.139530+00:00,VIAL
28,2016-11-22 10:51:56.601258+00:00,사용중,40703,658700660,일반,(유)한국비엠에스제약,1,다클린자정 60mg,1,다클린자정60mg(다클라타스비르염산염),TDKLZ,0,28T,0,2016-12-04 05:58:16.508485+00:00,TAB
1,2016-11-22 10:51:56.102943+00:00,사용중,4660,652100151,일반,한독,1,더마톱액 0.25% 20mL,1,더마톱액0.25%(프레드니카르베이트) 20mL,3DERMAX,0,20ml/통,0,2016-12-04 05:58:16.458878+00:00,BTL
1,2016-11-22 10:51:55.896659+00:00,사용중,1610,652100161,일반,한독,1,더마톱연고 0.25% 10g,1,더마톱연고0.25%(프레드니카르베이트) 10g,3DMOTX,0,10g,0,2016-12-04 05:58:16.165123+00:00,TUBE
1,2016-11-22 10:51:56.602449+00:00,사용중,2750,650000122,일반,글락소스미스클라인,1,더모베이트액 50mL,1,더모베이트액(클로베타솔프로피오네이트) 50mL,3DOVSX,0,개,0,2016-12-04 05:58:17.048882+00:00,BTL
1,2016-11-22 10:51:55.897877+00:00,사용중,700,650002371,일반,글락소스미스클라인,1,더모베이트연고 10g,1,더모베이트연고(클로베타솔프로피오네이트) 10g,3DVOTX,0,10g,0,2016-12-04 05:58:16.166604+00:00,TUBE
1,2016-11-22 10:51:56.603700+00:00,사용중,380,652604701,일반,알보젠코리아,1,데오크레건조시럽 20% 200g,1,데오크레건조시럽20%(테오필린) 1g(포),STCL,0,통,0,2016-12-04 05:58:17.095983+00:00,BTL
100,2016-11-22 10:51:55.834598+00:00,사용중,48,643300300,일반,종근당,1,데파스정 0.25mg,1,데파스정0.25mg(에티졸람),DES0.25,2,100T,0,2016-12-04 05:58:16.021034+00:00,TAB
100,2016-11-22 10:51:55.753973+00:00,사용중,88,643300310,일반,종근당,1,데파스정 0.5mg,1,데파스정0.5mg(에티졸람),DES,2,0.5mg/100T,0,2016-12-04 05:58:15.900400+00:00,TAB
1,2016-11-22 10:51:56.027846+00:00,사용중,6710,652000041,일반,사노피-아벤티스코리아,1,데파킨정맥주,1,데파킨정맥주사(발프로산나트륨),DPKX,0,1V,0,2016-12-04 05:58:16.393118+00:00,VIAL
100,2016-11-22 10:51:55.873302+00:00,사용중,227,652100190,일반,한독,1,데파킨크로노정 500mg,1,데파킨크로노정500mg,TDFK,0,100T(통),0,2016-12-04 05:58:16.094170+00:00,TAB
1000,2016-11-22 10:51:56.604981+00:00,사용중,13,647500550,일반,유한양행,1,덱사메타손정,1,유한메디카덱사메타손정,DEXA,0,1000T,0,2016-12-04 05:58:15.945530+00:00,TAB
50,2016-11-22 10:51:56.397619+00:00,사용중,222,648103531,일반,경동제약,1,덱사신주,1,덱사신주(덱사메타손포스페이트이나트륨),7DEXSX,0,50A,0,2016-12-04 05:58:16.840746+00:00,AMP
10,2016-11-22 10:51:56.606042+00:00,사용중,0,645101190,일반,대한약품공업,1,도데아민주 250ml,1,도데아민주250ml,ZDAM,0,10병,0,2016-12-04 05:58:16.102794+00:00,BTL
100,2016-11-22 10:51:56.114107+00:00,사용중,80,645400120,일반,한국다이이찌산쿄,1,도란사민캅셀,1,도란사민캅셀(트라넥삼산),CTRSM,0,250mg/100C,0,2016-12-04 05:58:16.478369+00:00,CAP
10,2016-11-22 10:51:56.607346+00:00,사용중,3766,644300481,일반,한국유나이티드제약,1,도부란주,1,도부란주(도부타민염산염),7DOBUX,0,10A,0,2016-12-04 05:58:16.124279+00:00,AMP
50,2016-11-22 10:51:56.608616+00:00,사용중,3600,657802541,일반,하나제약,1,도부타민염산염주,1,하나도부타민염산염주사,7DOBU2X,0,50A,0,2016-12-04 05:58:16.842138+00:00,AMP
10,2016-11-22 10:51:55.882165+00:00,사용중,1843,670602921,일반,휴온스,1,도파민주,1,휴온스도파민주사액(도파민염산염),7DPMX,0,10A,0,2016-12-04 05:58:16.125660+00:00,AMP
30,2016-11-22 10:51:56.326027+00:00,사용중,315,643500350,일반,한미약품,1,독사존엑스엘서방정 4mg,1,독사존엑스엘서방정4mg(메실산독사조신),TDOXA,0,4mg/30T(PTP),0,2016-12-04 05:58:16.756200+00:00,TAB
100,2016-11-22 10:51:55.835658+00:00,사용중,145,661901020,일반,영풍제약,1,독시사이클린정 100mg,1,영풍독시사이클린정100mg,TDXC,0,100T,0,2016-12-04 05:58:16.022511+00:00,TAB
1000,2016-11-22 10:51:55.903567+00:00,사용중,32,652600040,일반,알보젠코리아,1,돔페리돈정,1,알보젠돔페리돈정,TDOM1,0,10mg/1000T,0,2016-12-04 05:58:16.197312+00:00,TAB
500,2016-11-22 10:51:56.610055+00:00,사용중,0,653501140,일반,한국베링거인겔하임,1,둘코락스에스장용정,1,둘코락스에스장용정,TDULCO1,0,500T,0,2016-12-04 05:58:16.800338+00:00,TAB
50,2016-11-22 10:51:56.426394+00:00,사용중,193,653500090,일반,한국베링거인겔하임,1,둘코락스좌약,1,둘코락스좌약(비사코딜),3DULCO,0,50S,0,2016-12-04 05:58:16.916455+00:00,EA
10,2016-11-22 10:51:56.611335+00:00,사용중,14724,646901010,일반,한국얀센,2,듀로제식디트랜스패취 100mcg/h,1,듀로제식디트랜스패취100mcg/h,3DG100,1,매,0,2016-12-04 07:40:53.431231+00:00,매
10,2016-11-22 10:51:56.612510+00:00,사용중,4509,646900090,일반,한국얀센,2,듀로제식디트랜스패취 12mcg/h,1,듀로제식디트랜스패취12mcg/h(펜타닐),M0024008,1,매,0,2016-12-04 07:40:53.433508+00:00,매
10,2016-11-22 10:51:56.613903+00:00,사용중,7120,646900100,일반,한국얀센,2,듀로제식디트랜스패취 25mcg/h,1,듀로제식디트랜스패취25mcg/h(펜타닐TTS),3DG25-A,1,10매,0,2016-12-04 05:58:16.098317+00:00,매
10,2016-11-22 10:51:56.615277+00:00,사용중,10068,646900110,일반,한국얀센,2,듀로제식디트랜스패취 50mcg/h,1,듀로제식디트랜스패취50mcg/h(펜타닐TTS),3DG50-A,1,매,0,2016-12-04 07:40:53.434890+00:00,매
300,2016-11-22 10:51:56.352799+00:00,사용중,265,641901130,일반,보령제약,1,듀리세프캡슐 500mg,1,보령듀리세프캡슐500mg,TDURI,0,500mg/300C,0,2016-12-04 05:58:16.780895+00:00,CAP
20,2016-11-22 10:51:56.104180+00:00,사용중,210,644913501,일반,중외제약,1,듀파락-이지시럽 15mL (포),1,듀파락-이지시럽(락툴로오즈농축액) 15mL(포),SDPLX1,0,20P,0,2016-12-04 05:58:16.463063+00:00,PACK
1,2016-11-22 10:51:56.616646+00:00,사용중,14,644913503,일반,중외제약,1,듀파락-이지시럽 500mL,1,듀파락-이지시럽(락툴로오즈농축액) (500mL),SDPLX2,0,통,0,2016-12-04 05:58:17.097392+00:00,BTL
1,2016-11-22 10:51:56.362022+00:00,사용중,14,644900634,일반,중외제약,1,듀파락시럽 500mL,1,듀파락시럽(락툴로오즈농축액) (500mL),SDUP1X,0,500ml,0,2016-12-04 05:58:16.789583+00:00,BTL
10,2016-11-22 10:51:56.617899+00:00,사용중,370,654000881,일반,아주약품,1,디곡신주,1,아주디곡신주사액,7DGOX,0,10A,0,2016-12-04 05:58:16.127028+00:00,AMP
10,2016-11-22 10:51:56.619014+00:00,사용중,12355,693500251,일반,호스피라코리아,1,디비엘빈크리스틴황산염주 1mg/ml 2mL,1,디비엘빈크리스틴황산염주 1mg/ml 2mL,7DLBC2X,0,10V,0,2016-12-04 05:58:16.242457+00:00,VIAL
100,2016-11-22 10:51:56.620311+00:00,사용중,244,651900510,일반,명인제약,1,디스그렌캡슐 150mg,1,명인디스그렌캡슐150mg(트리플루살),,0,100C,0,2016-12-04 05:58:15.971231+00:00,CAP
100,2016-11-22 10:51:56.199073+00:00,사용중,474,651900500,일반,명인제약,1,디스그렌캡슐 300mg,1,명인디스그렌캡슐,CDISG,0,300mg/100C,0,2016-12-04 05:58:16.597006+00:00,CAP
500,2016-11-22 10:51:56.234357+00:00,사용중,118,676300040,일반,한국세르비에,1,디아미크롱서방정 30mg,1,디아미크롱서방정30mg(글리클라지드),TDAMIMR,0,30mg/500T,0,2016-12-04 05:58:16.641580+00:00,TAB
90,2016-11-22 10:51:56.540078+00:00,사용중,178,676300120,일반,한국세르비에,1,디아미크롱서방정 60mg,1,디아미크롱서방정60mg(글리클라지드),TDMC60,0,90T,0,2016-12-04 05:58:17.044540+00:00,TAB
1,2016-11-22 10:51:56.621699+00:00,사용중,2000,650100141,일반,태준제약,1,디아솔에스액 100mL,1,디아솔에스액(포도당) 100mL,TAIA50X,0,병,0,2016-12-04 05:58:17.078895+00:00,BTL
1,2016-11-22 10:51:56.622776+00:00,사용중,3000,650100142,일반,태준제약,1,디아솔에스액 150mL,1,디아솔에스액(포도당) 150mL,TAIA50XA,0,병,0,2016-12-04 05:58:17.080362+00:00,BTL
500,2016-11-22 10:51:56.372663+00:00,사용중,23,647800740,일반,삼진제약,1,디아제팜정 2mg,1,삼진디아제팜정2mg,DAZ2,2,500T,0,2016-12-04 05:58:16.801627+00:00,TAB
500,2016-11-22 10:51:56.373727+00:00,사용중,32,647800750,일반,삼진제약,1,디아제팜정 5mg,1,삼진디아제팜정5mg,TDAZ5,2,500T,0,2016-12-04 05:58:16.802907+00:00,TAB
20,2016-11-22 10:51:56.167531+00:00,사용중,200,647800761,일반,삼진제약,1,디아제팜주 10mg,1,삼진디아제팜주10mg,7DIAJEX,2,2ml/20A,0,2016-12-04 05:58:16.569375+00:00,AMP
20,2016-11-22 10:51:56.105337+00:00,사용중,255,643600951,일반,녹십자,1,디오겔현탁액,1,디오겔현탁액(디오마그나이트),DIOGS1X,0,20P,0,2016-12-04 05:58:16.464376+00:00,PACK
30,2016-11-22 10:51:56.220530+00:00,사용중,604,648900160,일반,한국화이자,1,디트루시톨SR캅셀 2mg,1,디트루시톨SR캅셀2mg(엘-주석산톨터로딘),TDTSR2,0,30C,0,2016-12-04 05:58:16.625610+00:00,CAP
30,2016-11-22 10:51:56.623998+00:00,사용중,922,648900170,일반,한국화이자,1,디트루시톨SR캅셀 4mg,1,디트루시톨SR캡슐4mg(엘-주석산톨터로딘),TDTSR4,0,30C,0,2016-12-04 05:58:16.627088+00:00,CAP
10,2016-12-01 05:56:02.537895+00:00,사용중,0,670500610,일반,보령바이오파마,1,디티에이피 백신주 (보령),2,디티에이피 백신주 (보령),,0,10S,0,2016-12-04 05:58:16.220771+00:00,SYR
1,2016-11-22 10:51:56.625121+00:00,사용중,599,648900181,일반,한국화이자,1,디푸루칸건조시럽 35mL,1,디푸루칸건조시럽(플루코나졸) 35mL,SDFCX,0,통,0,2016-12-04 05:58:17.098826+00:00,BTL
100,2016-11-22 10:51:55.967029+00:00,사용중,352,643300380,일반,종근당,1,딜라트렌정 12.5mg,1,딜라트렌정12.5mg(카르베딜롤),DLTR,0,12.5mg/100T,0,2016-12-04 05:58:16.321406+00:00,TAB
